playlist_uri,title,description,url
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,ARIA Top 100 Singles of 1990,"Unavailable: Southern Sons - Heart In Danger, Seiko - The Right Combination, Beats International - Dub Be Good To Me, Andrew Ridgeley - Shake, Johnny Diesel &amp; The Injectors - Please Send Me Someone To Love",https://api.spotify.com/v1/playlists/3rGa7t9ETWXUjsRtOjImBT
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,ARIA Top 100 Singles of 1991,"Unavailable: De La Soul - Ring Ring Ring (Ha Ha Hey), P.M. Dawn - Set Adrift On Memory Bliss, Sheena Easton - What Comes Naturally, Gang Starr - Lovesick (Upbeat Mix), Southern Sons - Hold Me In Your Arms, Elisa Fiorillo - On The Way Up, Cathy Dennis - Just Another Dream",https://api.spotify.com/v1/playlists/6ZiC56rxV9Q6UrLBVpTBNJ
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,ARIA Top 100 Singles of 1992,"Unavailable: Euphoria - Love You Right, Radio Freedom - I Can Feel It, Lisa Edwards - Cry, Teen Queens - Be My Baby, Euphoria - One In A Million, Teen Queens - Love How You Love Me, Euphoria - Do For You",https://api.spotify.com/v1/playlists/6kkbrH6FdGfwAZBvJwK1ke
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,ARIA Top 100 Singles of 1993,"Unavailable: Southern Sons - You Were There, Bell Biv DeVoe - Gangsta",https://api.spotify.com/v1/playlists/7gfJSTKHKwlTpG53WPjUvE
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,ARIA Top 100 Singles of 1994,"Unavailable: Prince - The Most Beautiful Girl In The World, Motiv8 - Rockin&#x27; For Myself, Jaki Graham - Ain&#x27;t Nobody",https://api.spotify.com/v1/playlists/2UeM3cfMqlyLBlXU2DQ5G6
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,ARIA Top 100 Singles of 1995,"Unavailable: The Outhere Brothers - Boom Boom Boom (Radio Version), The Steppers - Alice, Who The Fuck Is Alice?, The Outhere Brothers - Don&#x27;t Stop (Wiggle Wiggle) (Townhouse Radio Edit), Arrow - Hot Hot Hot (World Carnival Mix Edit), Divinyls - I&#x27;m Jealous",https://api.spotify.com/v1/playlists/3cH11GTXRfKsYZLwxtOoBG
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,ARIA Top 100 Singles of 1996,"Unavailable: Adam Clayton &amp; Larry Mullen - Theme From Mission: Impossible, The Outhere Brothers - Boom Boom Boom (Radio Version), DJ Darren Briais vs. DJ Peewee Ferris - I Feel It",https://api.spotify.com/v1/playlists/3aa0BZSnymnpDmDg5F0xj2
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,ARIA Top 100 Singles of 1997,"Unavailable: Unique II - Break My Stride, Quindon Tarver - When Doves Cry, Red Hot Chili Peppers - Love Rollercoaster, The Smashing Pumpkins - The End Is The Beginning Is The End",https://api.spotify.com/v1/playlists/4DFRHzkarDcFShLjnXhkOf
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,ARIA Top 100 Singles of 1998,"Unavailable: S.O.A.P. - This Is How We Party &amp; Ladidi Ladida, Pappa Bear feat. Van Der Toorn - Cherish, N.Y.C.C. - Fight For Your Right (To Party), Puff Daddy feat. Jimmy Page - Come With Me, P.M. Dawn - Gotta Be... Movin&#x27; On Up, Aaron Carter - Crush On You, Run-DMC vs. Jason Nevins - It&#x27;s Tricky",https://api.spotify.com/v1/playlists/6Sdw5Z9zHEFMOUX82JIyhy
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,ARIA Top 100 Singles of 1999,"Unavailable: Steps, Tina Cousins, Cleopatra, B*Witched &amp; Billie - Thank Abba For The Music",https://api.spotify.com/v1/playlists/5SA3GPMUdsVL8scMIx5KXc
