"","name","followers","popularity","uri","link","genres"
"31","Diplo",2300597,87,"spotify:artist:5fMUXHkw8R8eOP2RNVYEZX","https://api.spotify.com/v1/artists/5fMUXHkw8R8eOP2RNVYEZX","bmore,edm,moombahton,ninja,pop,tropical house"
"32","Justin Bieber",38595075,95,"spotify:artist:1uNFoZAHBGtllmzznpCI3s","https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s","canadian pop,dance pop,pop,post-teen pop"
"33","Taylor Swift",33003451,96,"spotify:artist:06HL4z0CvFAxyc27GXpf02","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","dance pop,pop,post-teen pop"
"34","Kendrick Lamar",15643686,90,"spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg","conscious hip hop,hip hop,rap,west coast rap"
"35","James Bay",3068743,79,"spotify:artist:4EzkuveR9pLvDVFNx6foYD","https://api.spotify.com/v1/artists/4EzkuveR9pLvDVFNx6foYD","modern rock,neo mellow,pop,pop rock"
"36","The Weeknd",25003330,96,"spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ","canadian contemporary r&b,canadian pop,pop"
"37","Rachel Platten",804720,70,"spotify:artist:3QLIkT4rD2FMusaqmkepbq","https://api.spotify.com/v1/artists/3QLIkT4rD2FMusaqmkepbq","dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop"
"38","Jarryd James",105344,53,"spotify:artist:23IZADrJHPStZ6aMxJVq3s","https://api.spotify.com/v1/artists/23IZADrJHPStZ6aMxJVq3s","australian alternative pop,australian r&b"
"39","Meghan Trainor",9607350,80,"spotify:artist:6JL8zeS1NmiOftqZTRgdTz","https://api.spotify.com/v1/artists/6JL8zeS1NmiOftqZTRgdTz","dance pop,hip pop,pop,post-teen pop"
"40","John Legend",5248648,84,"spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","https://api.spotify.com/v1/artists/5y2Xq6xcjJb2jVM54GHK3t","neo mellow,neo soul,pop,pop soul,r&b,urban contemporary"
"41","Jason Derulo",8317718,91,"spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y","dance pop,pop,pop rap,post-teen pop"
"42","Justin Bieber",38595075,95,"spotify:artist:1uNFoZAHBGtllmzznpCI3s","https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s","canadian pop,dance pop,pop,post-teen pop"
"43","SAYGRACE",149131,71,"spotify:artist:6y5amJcTjeDgLXIjtQLMst","https://api.spotify.com/v1/artists/6y5amJcTjeDgLXIjtQLMst","dance pop,pop,pop rap,post-teen pop,r&b,social media pop"
"44","G-Eazy",4623122,85,"spotify:artist:02kJSzxNuaWGqwubyUba0Z","https://api.spotify.com/v1/artists/02kJSzxNuaWGqwubyUba0Z","hip hop,indie pop rap,oakland hip hop,pop rap,rap"
"45","LunchMoney Lewis",81425,61,"spotify:artist:2iUbk5KhZYZt4CRvWbwb7S","https://api.spotify.com/v1/artists/2iUbk5KhZYZt4CRvWbwb7S","miami hip hop"
"46","Lost Frequencies",1960460,78,"spotify:artist:7f5Zgnp2spUuuzKplmRkt7","https://api.spotify.com/v1/artists/7f5Zgnp2spUuuzKplmRkt7","belgian edm,edm,pop,tropical house"
"47","Calvin Harris",20730525,89,"spotify:artist:7CajNmpbOovFoOoasH2HaY","https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY","dance pop,edm,electro house,house,pop,progressive house,uk dance"
"48","Disciples",197662,68,"spotify:artist:5EehXjjMktLuJmbRsM7YfB","https://api.spotify.com/v1/artists/5EehXjjMktLuJmbRsM7YfB","deep groove house,disco house,edm,house,progressive house,tropical house,uk dance"
"49","Galantis",2977216,78,"spotify:artist:4sTQVOfp9vEMCemLw50sbu","https://api.spotify.com/v1/artists/4sTQVOfp9vEMCemLw50sbu","big room,dance pop,edm,electro house,pop,tropical house"
"50","Taylor Swift",33003451,96,"spotify:artist:06HL4z0CvFAxyc27GXpf02","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","dance pop,pop,post-teen pop"
"51","Adam Lambert",1108414,69,"spotify:artist:6prmLEyn4LfHlD9NnXWlf7","https://api.spotify.com/v1/artists/6prmLEyn4LfHlD9NnXWlf7","dance pop,idol,pop,post-teen pop"
"52","Ed Sheeran",70923744,93,"spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V","pop,uk pop"
"53","Sam Smith",14072592,90,"spotify:artist:2wY79sveU1sp5g7SokKOiI","https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI","pop,post-teen pop,uk pop"
"54","John Legend",5248648,84,"spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","https://api.spotify.com/v1/artists/5y2Xq6xcjJb2jVM54GHK3t","neo mellow,neo soul,pop,pop soul,r&b,urban contemporary"
"55","James Bay",3068743,79,"spotify:artist:4EzkuveR9pLvDVFNx6foYD","https://api.spotify.com/v1/artists/4EzkuveR9pLvDVFNx6foYD","modern rock,neo mellow,pop,pop rock"
"56","Jamie Lawson",109508,58,"spotify:artist:1jhdZdzOd4TJLAHqQdkUND","https://api.spotify.com/v1/artists/1jhdZdzOd4TJLAHqQdkUND","devon indie,indie anthem-folk"
"57","Kygo",6798726,89,"spotify:artist:23fqKkggKUBHNkbKtXEls4","https://api.spotify.com/v1/artists/23fqKkggKUBHNkbKtXEls4","edm,pop,tropical house"
"58","Conrad Sewell",94210,68,"spotify:artist:1rw8ZTLnDHd74TWDDukjVi","https://api.spotify.com/v1/artists/1rw8ZTLnDHd74TWDDukjVi","australian pop"
"59","Charlie Puth",11554345,84,"spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7","dance pop,pop,post-teen pop,viral pop"
"60","Meghan Trainor",9607350,80,"spotify:artist:6JL8zeS1NmiOftqZTRgdTz","https://api.spotify.com/v1/artists/6JL8zeS1NmiOftqZTRgdTz","dance pop,hip pop,pop,post-teen pop"
"61","Meghan Trainor",9607350,80,"spotify:artist:6JL8zeS1NmiOftqZTRgdTz","https://api.spotify.com/v1/artists/6JL8zeS1NmiOftqZTRgdTz","dance pop,hip pop,pop,post-teen pop"
"62","Jessie J",7876882,76,"spotify:artist:2gsggkzM5R49q6jpPvazou","https://api.spotify.com/v1/artists/2gsggkzM5R49q6jpPvazou","dance pop,pop,pop rap,post-teen pop,uk pop"
"63","Taylor Swift",33003451,96,"spotify:artist:06HL4z0CvFAxyc27GXpf02","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","dance pop,pop,post-teen pop"
"64","R. City",115160,66,"spotify:artist:4TH4BHy0LdBi3dpBW4P2UX","https://api.spotify.com/v1/artists/4TH4BHy0LdBi3dpBW4P2UX","reggae fusion,virgin islands reggae"
"65","Adam Levine",826087,73,"spotify:artist:4bYPcJP5jwMhSivRcqie2n","https://api.spotify.com/v1/artists/4bYPcJP5jwMhSivRcqie2n","neo mellow,pop rock"
"66","Drake",50161321,100,"spotify:artist:3TVXtAsR1Inumwj472S9r4","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
"67","Galantis",2977216,78,"spotify:artist:4sTQVOfp9vEMCemLw50sbu","https://api.spotify.com/v1/artists/4sTQVOfp9vEMCemLw50sbu","big room,dance pop,edm,electro house,pop,tropical house"
"68","Avicii",18311743,86,"spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6","big room,dance pop,edm,pop"
"69","Vance Joy",2186121,78,"spotify:artist:10exVja0key0uqUkk6LJRT","https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT","folk-pop,modern rock,pop,pop rock"
"70","David Guetta",21587757,88,"spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai","dance pop,edm,pop,tropical house"
"71","Afrojack",3507458,78,"spotify:artist:4D75GcNG95ebPtNvoNVXhz","https://api.spotify.com/v1/artists/4D75GcNG95ebPtNvoNVXhz","big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house"
"72","Bebe Rexha",5680003,85,"spotify:artist:64M6ah0SkkRsnPGtGiRAbb","https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb","dance pop,electropop,pop,post-teen pop"
"73","Nicki Minaj",18959092,92,"spotify:artist:0hCNtLu0JehylgoiP8L4Gh","https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh","dance pop,hip pop,pop,pop rap,post-teen pop,queens hip hop"
"74","Robin Schulz",2512148,84,"spotify:artist:3t5xRXzsuZmMDkQzgOX35S","https://api.spotify.com/v1/artists/3t5xRXzsuZmMDkQzgOX35S","dance pop,deep euro house,deep house,edm,german dance,pop,tropical house"
"75","Francesco Yates",35437,65,"spotify:artist:5X1JzPIIonP3u9lA580pPT","https://api.spotify.com/v1/artists/5X1JzPIIonP3u9lA580pPT","canadian pop"
"76","Taylor Swift",33003451,96,"spotify:artist:06HL4z0CvFAxyc27GXpf02","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","dance pop,pop,post-teen pop"
"77","One Direction",18135452,91,"spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","https://api.spotify.com/v1/artists/4AK6F7OLvEQ5QYCBNiQWHq","boy band,pop,post-teen pop,talent show"
"78","Selena Gomez",23014182,90,"spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx","dance pop,pop,post-teen pop"
"79","A$AP Rocky",8020003,86,"spotify:artist:13ubrt8QOOCPljQ2FL1Kca","https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca","east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap"
"80","Silentó",220702,56,"spotify:artist:7juKTDFlPesGeWQ1GmjmOv","https://api.spotify.com/v1/artists/7juKTDFlPesGeWQ1GmjmOv","pinoy hip hop"
"81","Pia Mia",1267646,68,"spotify:artist:1BhWF9W2PngtPSyobKg0rP","https://api.spotify.com/v1/artists/1BhWF9W2PngtPSyobKg0rP","dance pop,pop,pop r&b,post-teen pop,r&b,social media pop,urban contemporary"
"82","Chris Brown",12397113,92,"spotify:artist:7bXgB6jMjp9ATFy66eO08Z","https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z","dance pop,pop,pop rap,r&b,rap"
"83","Tyga",5944778,89,"spotify:artist:5LHRHt1k9lMyONurDHEdrp","https://api.spotify.com/v1/artists/5LHRHt1k9lMyONurDHEdrp","dance pop,hip hop,pop rap,rap,trap"
"84","Conrad Sewell",94210,68,"spotify:artist:1rw8ZTLnDHd74TWDDukjVi","https://api.spotify.com/v1/artists/1rw8ZTLnDHd74TWDDukjVi","australian pop"
"85","Taylor Swift",33003451,96,"spotify:artist:06HL4z0CvFAxyc27GXpf02","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","dance pop,pop,post-teen pop"
"86","Shawn Mendes",29417851,90,"spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr","canadian pop,dance pop,pop,post-teen pop,viral pop"
"87","Deorro",1070688,72,"spotify:artist:6VD4UEUPvtsemqD3mmTqCR","https://api.spotify.com/v1/artists/6VD4UEUPvtsemqD3mmTqCR","big room,dance pop,edm,electro house,melbourne bounce,melbourne bounce international,pop,progressive electro house"
"88","Chris Brown",12397113,92,"spotify:artist:7bXgB6jMjp9ATFy66eO08Z","https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z","dance pop,pop,pop rap,r&b,rap"
"89","Dawin",207246,58,"spotify:artist:46GXASE9LHzyssNqKOInUu","https://api.spotify.com/v1/artists/46GXASE9LHzyssNqKOInUu","nyc pop"
"90","Duke Dumont",583795,72,"spotify:artist:61lyPtntblHJvA7FMMhi7E","https://api.spotify.com/v1/artists/61lyPtntblHJvA7FMMhi7E","dance pop,destroy techno,disco house,edm,house,progressive house,tropical house,uk dance"
"91","Little Mix",8042210,84,"spotify:artist:3e7awlrlDSwF3iM0WBjGMp","https://api.spotify.com/v1/artists/3e7awlrlDSwF3iM0WBjGMp","dance pop,girl group,pop,post-teen pop,talent show,uk pop"
"92","Nelly",1612720,79,"spotify:artist:2gBjLmx6zQnFGQJCAQpRgw","https://api.spotify.com/v1/artists/2gBjLmx6zQnFGQJCAQpRgw","dance pop,hip hop,pop,pop rap,rap,southern hip hop,st louis rap,urban contemporary"
"93","Jeremih",4566846,82,"spotify:artist:3KV3p5EY4AvKxOlhGHORLg","https://api.spotify.com/v1/artists/3KV3p5EY4AvKxOlhGHORLg","chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary"
"94","Fifth Harmony",11470615,76,"spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt","https://api.spotify.com/v1/artists/1l8Fu6IkuTP0U5QetQJ5Xt","dance pop,girl group,pop,post-teen pop,talent show"
"95","Kid Ink",2533400,75,"spotify:artist:6KZDXtSj0SzGOV705nNeh3","https://api.spotify.com/v1/artists/6KZDXtSj0SzGOV705nNeh3","dance pop,hip hop,pop rap,rap,southern hip hop,trap"
"96","Robin Schulz",2512148,84,"spotify:artist:3t5xRXzsuZmMDkQzgOX35S","https://api.spotify.com/v1/artists/3t5xRXzsuZmMDkQzgOX35S","dance pop,deep euro house,deep house,edm,german dance,pop,tropical house"
"97","Ilsey",2735,56,"spotify:artist:2ZKzqJz3pPfWKVRgz9b39j","https://api.spotify.com/v1/artists/2ZKzqJz3pPfWKVRgz9b39j",NA
"98","LunchMoney Lewis",81425,61,"spotify:artist:2iUbk5KhZYZt4CRvWbwb7S","https://api.spotify.com/v1/artists/2iUbk5KhZYZt4CRvWbwb7S","miami hip hop"
"99","Chloe Angelides",2981,54,"spotify:artist:79A4RmgwxYGIDkqQDUHLXK","https://api.spotify.com/v1/artists/79A4RmgwxYGIDkqQDUHLXK",NA
"100","Zara Larsson",7838964,83,"spotify:artist:1Xylc3o4UrD53lo9CvFvVg","https://api.spotify.com/v1/artists/1Xylc3o4UrD53lo9CvFvVg","dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house"
"101","MNEK",224640,83,"spotify:artist:7uMh23xWiuR7zsNkuNcm2G","https://api.spotify.com/v1/artists/7uMh23xWiuR7zsNkuNcm2G","tropical house,uk contemporary r&b"
"102","Hilltop Hoods",600856,70,"spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4","australian hip hop,australian pop"
"103","Nico & Vinz",440756,66,"spotify:artist:0awl5piYwO0CDTHEkCjUhn","https://api.spotify.com/v1/artists/0awl5piYwO0CDTHEkCjUhn","dance pop,pop rap"
"104","Kid Ink",2533400,75,"spotify:artist:6KZDXtSj0SzGOV705nNeh3","https://api.spotify.com/v1/artists/6KZDXtSj0SzGOV705nNeh3","dance pop,hip hop,pop rap,rap,southern hip hop,trap"
"105","Bebe Rexha",5680003,85,"spotify:artist:64M6ah0SkkRsnPGtGiRAbb","https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb","dance pop,electropop,pop,post-teen pop"
"106","Major Lazer",6078466,83,"spotify:artist:738wLrAtLtCtFOLvQBXOXp","https://api.spotify.com/v1/artists/738wLrAtLtCtFOLvQBXOXp","dance pop,edm,electro house,moombahton,pop,pop rap"
"107","Ellie Goulding",8523299,84,"spotify:artist:0X2BH1fck6amBIoJhDVmmJ","https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ","dance pop,indietronica,metropopolis,pop,post-teen pop,tropical house,uk pop"
"108","Tarrus Riley",181071,63,"spotify:artist:4frHO7KPcfMjhnVdIMJ98c","https://api.spotify.com/v1/artists/4frHO7KPcfMjhnVdIMJ98c","dancehall,jawaiian,lovers rock,modern reggae,reggae,roots reggae"
"109","Olly Murs",2836242,71,"spotify:artist:3whuHq0yGx60atvA2RCVRW","https://api.spotify.com/v1/artists/3whuHq0yGx60atvA2RCVRW","dance pop,europop,pop,pop rock,post-teen pop,talent show,tropical house,uk pop"
"110","Demi Lovato",18211296,87,"spotify:artist:6S2OmqARrzebs0tKUEyXyp","https://api.spotify.com/v1/artists/6S2OmqARrzebs0tKUEyXyp","dance pop,pop,post-teen pop"
"111","Robin Schulz",2512148,84,"spotify:artist:3t5xRXzsuZmMDkQzgOX35S","https://api.spotify.com/v1/artists/3t5xRXzsuZmMDkQzgOX35S","dance pop,deep euro house,deep house,edm,german dance,pop,tropical house"
"112","Jasmine Thompson",2116,57,"spotify:artist:0E4gQj9bTIp0cycvzLBk5d","https://api.spotify.com/v1/artists/0E4gQj9bTIp0cycvzLBk5d",NA
"113","Years & Years",1476269,73,"spotify:artist:5vBSrE1xujD2FXYRarbAXc","https://api.spotify.com/v1/artists/5vBSrE1xujD2FXYRarbAXc","dance pop,edm,gauze pop,pop,tropical house"
"114","Vance Joy",2186121,78,"spotify:artist:10exVja0key0uqUkk6LJRT","https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT","folk-pop,modern rock,pop,pop rock"
"115","DJ Snake",7066209,83,"spotify:artist:540vIaP2JwjQb9dm3aArA4","https://api.spotify.com/v1/artists/540vIaP2JwjQb9dm3aArA4","dance pop,edm,electro house,electronic trap,pop,pop rap"
"116","AlunaGeorge",397141,70,"spotify:artist:2VAnyOxzJuSAj7XIuEOT38","https://api.spotify.com/v1/artists/2VAnyOxzJuSAj7XIuEOT38","electropop,house,pop,tropical house"
"117","Ellie Goulding",8523299,84,"spotify:artist:0X2BH1fck6amBIoJhDVmmJ","https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ","dance pop,indietronica,metropopolis,pop,post-teen pop,tropical house,uk pop"
"118","Avicii",18311743,86,"spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6","big room,dance pop,edm,pop"
"119","Chet Faker",98762,69,"spotify:artist:6UcJxoeHWWWyT5HZP064om","https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om","art pop,indietronica"
"120","Rudimental",1211901,76,"spotify:artist:4WN5naL3ofxrVBgFpguzKo","https://api.spotify.com/v1/artists/4WN5naL3ofxrVBgFpguzKo","dance pop,edm,liquid funk,pop,tropical house,uk dance,uk funky"
"121","Ed Sheeran",70923744,93,"spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V","pop,uk pop"
"122","Ed Sheeran",70923744,93,"spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V","pop,uk pop"
"123","Pitbull",7965619,86,"spotify:artist:0TnOYISbd1XYRBk9myaseg","https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg","dance pop,latin,miami hip hop,pop,pop rap"
"124","Ne-Yo",5567151,82,"spotify:artist:21E3waRsmPlU7jZsS13rcj","https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj","dance pop,pop,pop rap,r&b,urban contemporary"
"125","The Weeknd",25003330,96,"spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ","canadian contemporary r&b,canadian pop,pop"
"126","Flo Rida",7769256,82,"spotify:artist:0jnsk9HBra6NMjO2oANoPY","https://api.spotify.com/v1/artists/0jnsk9HBra6NMjO2oANoPY","dance pop,miami hip hop,pop,pop rap"
"127","Robin Thicke",1630157,69,"spotify:artist:0ZrpamOxcZybMHGg1AYtHP","https://api.spotify.com/v1/artists/0ZrpamOxcZybMHGg1AYtHP","dance pop,hip pop,neo soul,pop,r&b,urban contemporary"
"128","Verdine White",1450,57,"spotify:artist:4tMJliVd96wXoMVNdcOBHp","https://api.spotify.com/v1/artists/4tMJliVd96wXoMVNdcOBHp",NA
"129","Meghan Trainor",9607350,80,"spotify:artist:6JL8zeS1NmiOftqZTRgdTz","https://api.spotify.com/v1/artists/6JL8zeS1NmiOftqZTRgdTz","dance pop,hip pop,pop,post-teen pop"
"130","Calvin Harris",20730525,89,"spotify:artist:7CajNmpbOovFoOoasH2HaY","https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY","dance pop,edm,electro house,house,pop,progressive house,uk dance"
"131","HAIM",975194,72,"spotify:artist:4Ui2kfOqGujY81UcPrb5KE","https://api.spotify.com/v1/artists/4Ui2kfOqGujY81UcPrb5KE","art pop,dance pop,indie pop,metropopolis,pop,pop rock,rock"
"132","Iggy Azalea",5120932,76,"spotify:artist:5yG7ZAZafVaAlMTeBybKAL","https://api.spotify.com/v1/artists/5yG7ZAZafVaAlMTeBybKAL","australian hip hop,dance pop,hip pop,pop,pop rap,post-teen pop"
