"","playlist_uri","album","album_uri","artist","artist_uri","disc_number","duration_ms","name","popularity","explicit","uri","link"
"1","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Uptown Special","spotify:album:3vLaOYCNCzngDf8QdBg2V1","Mark Ronson","spotify:artist:3hv9jJF3adDNsBSIQDqcjp",1,269666,"Uptown Funk (feat. Bruno Mars)",81,FALSE,"spotify:track:32OlwWuMpZ6b0aN2RZOeMS","https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS"
"2","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Uptown Special","spotify:album:3vLaOYCNCzngDf8QdBg2V1","Bruno Mars","spotify:artist:0du5cEVh5yTK9QJze8zA0C",1,269666,"Uptown Funk (feat. Bruno Mars)",81,FALSE,"spotify:track:32OlwWuMpZ6b0aN2RZOeMS","https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS"
"3","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Me 4 U","spotify:album:7cVXH4slEYzGjDh498OFyL","OMI","spotify:artist:5MouCg6ta7zAxsfMEbc1uh",1,180565,"Cheerleader - Felix Jaehn Remix Radio Edit",76,FALSE,"spotify:track:7vFoFDWqTX0mHzLfrF1Cfy","https://api.spotify.com/v1/tracks/7vFoFDWqTX0mHzLfrF1Cfy"
"4","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Me 4 U","spotify:album:7cVXH4slEYzGjDh498OFyL","Felix Jaehn","spotify:artist:4bL2B6hmLlMWnUEZnorEtG",1,180565,"Cheerleader - Felix Jaehn Remix Radio Edit",76,FALSE,"spotify:track:7vFoFDWqTX0mHzLfrF1Cfy","https://api.spotify.com/v1/tracks/7vFoFDWqTX0mHzLfrF1Cfy"
"5","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","See You Again (feat. Charlie Puth)","spotify:album:5FXIqS1XqbpfOKNoi5VUwS","Wiz Khalifa","spotify:artist:137W8MRPWKqSmrBGDBFSop",1,229525,"See You Again (feat. Charlie Puth)",82,FALSE,"spotify:track:2JzZzZUQj3Qff7wapcbKjc","https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc"
"6","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","See You Again (feat. Charlie Puth)","spotify:album:5FXIqS1XqbpfOKNoi5VUwS","Charlie Puth","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7",1,229525,"See You Again (feat. Charlie Puth)",82,FALSE,"spotify:track:2JzZzZUQj3Qff7wapcbKjc","https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc"
"7","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Hozier (Expanded Edition)","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier","spotify:artist:2FXC3k01G6Gw61bmprjgqS",1,241693,"Take Me to Church",74,FALSE,"spotify:track:1CS7Sd1u5tWkstBhpssyjP","https://api.spotify.com/v1/tracks/1CS7Sd1u5tWkstBhpssyjP"
"8","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","25","spotify:album:7uwTHXmFa1Ebi5flqBosig","Adele","spotify:artist:4dpARuHxo51G3z768sgnrY",1,295502,"Hello",73,FALSE,"spotify:track:4aebBr4JAihzJQR0CiIZJv","https://api.spotify.com/v1/tracks/4aebBr4JAihzJQR0CiIZJv"
"9","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Peace Is the Mission","spotify:album:0C7tn68LWhhw5Ez6g9LMjz","Major Lazer","spotify:artist:738wLrAtLtCtFOLvQBXOXp",1,176561,"Lean On (feat. MØ & DJ Snake)",60,FALSE,"spotify:track:33YmfTNoLnbkRnOjf7YIVm","https://api.spotify.com/v1/tracks/33YmfTNoLnbkRnOjf7YIVm"
"10","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Peace Is the Mission","spotify:album:0C7tn68LWhhw5Ez6g9LMjz","MØ","spotify:artist:0bdfiayQAKewqEvaU6rXCv",1,176561,"Lean On (feat. MØ & DJ Snake)",60,FALSE,"spotify:track:33YmfTNoLnbkRnOjf7YIVm","https://api.spotify.com/v1/tracks/33YmfTNoLnbkRnOjf7YIVm"
